Revised	Mayfair	Artifex Expansion	A	85	Occupation	1+	Homekeeper					Farm Planner	Exactly one clay or stone room in your house can hold an additional person if the room is adjacent to both a field and a pasture.
Revised	Mayfair	Artifex Expansion	A	89	Occupation	1+	Stable Planner					Farm Planner	Add 3, 6, and 9 to the current round. You can place 1 stable on each corresponding round space. A the start of these rounds (not earlier), you can build the stable at no cost.
Revised	Mayfair	Artifex Expansion	A	91	Occupation	1+	Shifting Cultivator					Farm Planner	Each time you use a wood accumulation space, you can also play 3 food to plow 1 field.
Revised	Mayfair	Artifex Expansion	A	93	Occupation	1+	Bed Maker					Actions Booster	Each time you add rooms to your house, you can also pay 1 wood and 1 grain to immediately get a "Family Growth with Room Only" action.
Revised	Mayfair	Artifex Expansion	A	94	Occupation	1+	Lazy Sowman					Actions Booster	Each time you decline an unconditional "Sow" action on your turn, you can immediately place another person on an action space of your choice (even if it is occupied).
Revised	Mayfair	Artifex Expansion	A	95	Occupation	1+	Angler					Actions Booster	Each time after you use the "Fishing" Accumulation space while there are at most 2 food on that space, you get a "Major or Minor Improvement" action.
Revised	Mayfair	Artifex Expansion	A	96	Occupation	1+	Task Artisan					Actions Booster	When you play this card and each time a stone accumulation space appears on a round space in the preparation phase, you get 1 wood and a "Minor Improvement" action.
Revised	Mayfair	Artifex Expansion	A	97	Occupation	1+	Freshman					Actions Booster	Each time you get a "Bake Bread" action, instead of taking the action, you can play an occupation without paying an occupation cost.
Revised	Mayfair	Artifex Expansion	A	99	Occupation	1+	Fellow Grazer					Points Provider	During scoring, you get 2 bonus points of reach pasture you have covering at least 3 farmyard spaces.
Revised	Mayfair	Artifex Expansion	A	100	Occupation	1+	Curator					Points Provider	In the returning home phase of each round, if you return at least 3 people from accumulation spaces, you can buy 1 bonus point for 1 food.
Revised	Mayfair	Artifex Expansion	A	101	Occupation	1+	Cookery Outfitter					Points Provider	During scoring, you get 1 bonus point for each cooking improvement you have.
Revised	Mayfair	Artifex Expansion	A	103	Occupation	1+	Portmonger					Goods Provider	Each time you take 1/2/3+ food from a food accumulation space, you also get 1 vegetable/grain/reed.
Revised	Mayfair	Artifex Expansion	A	104	Occupation	1+	Wood Harvester					Goods Provider	In the field phase of each harvest, you get 1 wood/1 food for each wood accumulation space with exactly 2 wood/at least 3 wood.
Revised	Mayfair	Artifex Expansion	A	105	Occupation	1+	Barrow Pusher					Goods Provider	For each new field tile you get, you also get 1 clay and 1 food.
Revised	Mayfair	Artifex Expansion	A	106	Occupation	1+	Slurry Spreader					Food Provider	In the field phase of each harvest, each time you take the last grain/vegetable from a field, you also get 2 food/1 food.
Revised	Mayfair	Artifex Expansion	A	107	Occupation	1+	Catcher					Food Provider	Each time you place your 1st/2nd/3rd person in a round on a building resource accumulation space with exactly 5/4/3 building resources, you get 1 food.
Revised	Mayfair	Artifex Expansion	A	109	Occupation	1+	Small Trader					Food Provider	Each time you take a "Major or Minor Improvement" action to play an improvement from your hand, you also get 3 food.
Revised	Mayfair	Artifex Expansion	A	113	Occupation	1+	Heresy Teacher					Crop Provider	Each time you use a "Lessons" action space, you get 1 vegetable in each of your fields with at least 3 grain and no vegetable. Place the vegetable below the grain.
Revised	Mayfair	Artifex Expansion	A	115	Occupation	1+	Chief Forester					Crop Provider	Each time you use a wood accumulation space, you also get a "Sow" action for exactly 1 field.
Revised	Mayfair	Artifex Expansion	A	117	Occupation	1+	Wood Carrier					Building Resource Provider	When you play this card, you immediately get 1 wood fore each improvement in front of you.
Revised	Mayfair	Artifex Expansion	A	118	Occupation	1+	Treegardener					Building Resource Provider	In the field phase of each harvest, you get 1 wood and you can buy up to 2 additional wood for 1 food each.
Revised	Mayfair	Artifex Expansion	A	121	Occupation	1+	Clay Puncher					Building Resource Provider	When you play this card and each time after you use a "Lessons" action space or the "Clay Pit" accumulation space, you get 1 clay.
Revised	Mayfair	Artifex Expansion	A	122	Occupation	1+	Pan Baker					Building Resource Provider	Each time you use the "Grain Utilization" action space, you also get 2 clay and 1 wood.
Revised	Mayfair	Artifex Expansion	A	124	Occupation	1+	Knapper					Building Resource Provider	Each time before you use an action space card on round spaces 5 to 7, you get 1 stone.
Revised	Mayfair	Artifex Expansion	A	126	Occupation	1+	Master Workman					Building Resource Provider	Each time before you use an action space card on round spaces 1/2/3/4, you get 1 wood/clay/reed/stone.
Revised	Mayfair	Artifex Expansion	A	127	Occupation	3+	Lodger					Farm Planner	This card provides room for one person, but only until the returning home phase of round 9. If, by then, there is no room elsewhere for that person, remove it from play.
Revised	Mayfair	Artifex Expansion	A	128	Occupation	3+	Riparian Builder					Farm Planner	Each time another player uses the "Reed Bank" accumulation space, you can build a room: if you build a clay/stone room, you get a discount of 1 clay/2 stone.
Revised	Mayfair	Artifex Expansion	A	129	Occupation	3+	Swagman					Actions Booster	Immediately after each time you use the "Farm Expansion" or "Grain Seeds" action space, you can use the respective other space with the same person (even if it is occupied).
Revised	Mayfair	Artifex Expansion	A	130	Occupation	3+	Mummy's Boy					Actions Booster	Once per round, when placing a person after your first two, you can place it on the action space with your 2nd person and use that space again. (Mark the action space).
Revised	Mayfair	Artifex Expansion	A	131	Occupation	3+	Craft Teacher					Actions Booster	Each time after you build the major improvement "Joinery", "Pottery", and "Basketmaker's Workshop", you can play up to 2 occupations without paying an occupation cost.
Revised	Mayfair	Artifex Expansion	A	132	Occupation	3+	Publican					Points Provider	Each time before another player takes an unconditional "Sow" action, you can give them 1 grain from your supply to get 1 bonus point.
Revised	Mayfair	Artifex Expansion	A	134	Occupation	3+	Full Farmer					Points Provider	When you play this card, you immediately get 1 wood and 1 clay. During scoring, you get 1 bonus point for each pasture you have holding the maximum number of animals.
Revised	Mayfair	Artifex Expansion	A	135	Occupation	3+	Animal Reeve					Points Provider	If there are still 1/3/6/9 complete rounds left to play, you immediately get 1/2/3/4 wood. During scoring, each player with 2+/3+/4+ animals of each type gets 1/3/5 bonus points.
Revised	Mayfair	Artifex Expansion	A	136	Occupation	3+	Drudgery Reeve					Points Provider	If there are still 1/3/6/9 complete rounds left to play, you immediately get 1/2/3/4 wood. During scoring, each player with 1+/2+/3+ building resources of each type gets 1/3/5 bonus points.
Revised	Mayfair	Artifex Expansion	A	137	Occupation	3+	Riverine Shepherd					Goods Provider	Each time you use the "Sheep Market" or "Reed Bank" accumulation space, you can also take 1 good from the respective other accumulation space, if possible.
Revised	Mayfair	Artifex Expansion	A	139	Occupation	3+	Hollow Warden					Food Provider	When you play this card, you immediately get a "Major Improvement" action to build a Fireplace. Each time you use the "Hollow" accumulation space, you also get 1 food.
Revised	Mayfair	Artifex Expansion	A	140	Occupation	3+	Shovel Bearer					Food Provider	Each time you use the "Clay Pit" or "Hollow" accumulation space, you also get a number of food equal to the amount of clay on the respective other accumulation space.
Revised	Mayfair	Artifex Expansion	A	141	Occupation	3+	Turnip Farmer					Crop Provider	At the start of the returning home phase of each round, if both the "Day Laborer" and "Grain Seeds" action spaces are occupied, you get 1 vegetable.
